 # Fibonacci Sphere distribution of circles on sphere
 # Assuming 5300 across sky, => 7.9 sq-degrees/desi tile
 # RA            DEC
 -99.26734   51.68540
-126.74484  -40.25826
 -38.31340    9.68200
-138.24519   23.49054
 -68.91605  -49.14316
 -61.04485   45.80171
-140.26624  -17.50398
 -39.30432  -15.88660
-120.87268   44.81549
-108.85275  -49.98521
 -42.19416   25.12164
-142.13585    8.05487
 -51.56963  -39.16587
 -83.30058   52.32699
-134.08070  -32.38931
 -37.31722   -0.10471
-134.01651   32.59879
 -83.61470  -52.46462
 -51.23722   39.10278
-142.37676   -7.86983
 -41.99699  -25.41485
-108.76031   50.36833
-121.44671  -44.96828
 -38.81583   15.77616
-140.71110   17.82593
 -60.80486  -46.36009
 -68.20845   49.57813
-138.99215  -23.50924
 -37.63037   -9.98296
-127.32389   40.91397
 -99.87780  -52.43921
 -44.40461   30.93462
-143.11743    1.99986
 -46.63995  -34.46519
 -93.35779   53.12389
-130.68170  -37.86516
 -36.98665    6.02843
-137.69118   27.34213
 -73.74820  -51.50705
 -56.15868   44.02994
-142.04128  -14.01163
 -39.33047  -19.77540
-117.34926   47.85219
-114.66984  -49.04333
 -39.89324   21.85043
-142.55266   11.92699
 -53.91377  -42.63507
 -76.91863   52.41193
-137.02454  -29.42051
 -36.49732   -3.91639
-132.60620   36.32150
 -89.79906  -53.65506
 -47.49857   36.55063
-143.59777   -4.15981
 -42.69422  -29.27030
-103.55694   52.54959
-126.13265  -42.99231
 -37.16036   12.21287
-140.56903   21.73336
 -64.67551  -49.28403
 -62.52982   48.38479
-141.15222  -20.14838
 -37.31563  -13.88541
-124.70679   44.32405
-106.28328  -52.24424
 -41.62931   27.85105
-143.83896    5.85264
 -48.25254  -38.16444
 -86.93549   54.05093
-134.22294  -35.16428
 -35.86870    2.26587
-136.84229   31.19715
 -79.32206  -53.48593
 -51.68341   41.86116
-143.58124  -10.38221
 -39.59278  -23.69810
-113.11084   50.64707
-120.17799  -47.60741
 -37.86885   18.40605
-142.76391   15.85668
 -56.82587  -45.97515
 -70.54290   51.93682
-139.63667  -26.23007
 -35.87349   -7.80704
-130.77534   39.99041
 -96.41350  -54.30553
 -44.15189   33.71103
-144.61503   -0.34841
 -43.70454  -33.12032
 -97.62157   54.30599
